Index,Method,Sheet_ID,Date,Date_survey_started,Start Time,End Time,Start GPS Name,End GPS Name,Start Y,Start X,Start Temp (c),,End Y,End X,End Temp (c),Observers,Scribe,Survey,Number,No,Time,Species,Y,Y_old,X,X_old,SVL_mm,Color,Nuptial_Pads,gravid,STAGE,Use_for_size,Mass,Disposition,Microhabitat,Habitat_type,Burrow(Y/N),Burrow_Depth,GPS Waypoint,COMMENTS,Time to process,Toads Missed,QC
1533,RoadVES,SCTR-16-May-2017-04,16-May-17,16-May-17,,,,,,,19.5,76.6,,,,HM,NK,3,,11,2146,SCHO,4119924,,364238,,38,GY,N,N,SNBA,,,,,,Y,66.5,823,,,,
148,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,148,12,2217,SCHO,4121123,,363059,,50.6,Y,N,DC,U,,-,A,"in burrow, halfway",forest,Y,67,point 204,,,,
464,RoadVES,SCTR-22-APR-2016-04,23-Apr-16,22-Apr-16,2029,58,479,476,4118460,364962,,,4118409,365810,64F,"ADS, AO",,1,464,132,56,SCHO,4118411,,365817,,53.1,Y,N,N,SNBA,,-,A,L.L.,Forest,Y,68.5,474,,,,
262,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,262,126,110,SCHO,4121512,,363572,,45,G,N,DC,U,,-,A,entrance to burrow,forest,Y,70.1,point 293,,,,
286,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,286,150,148,SCHO,4121617,,363115,,50.3,Y,N,DC,U,,-,A,burrow entrance,forest/field edge,Y,70.4,point 311,,,,
266,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,266,130,115,SCHO,4121527,,363549,,52.4,Y,N,DC,U,,-,A,in burrow,forest,Y,73.5,point 297,,,,
1947,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,7,2116,SCHO,4119019,,367142,,58.9,DY,N,Y,F,,,,,,Y,74.5,,,,,
253,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,253,117,101,SCHO,4121510,,363618,,42.3,G,N,DC,U,,-,A,entrance to burrow,forest,Y,74.9,point 285,,,,
1775,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,2,2108,SCHO,4119319,,364657,,45.2,GY,N,Y,F,,,,,,Y,75.2,994,,,,
273,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,273,137,122,SCHO,4121512,,363538,,47,Y,Y,DC,M,,-,A,next to burrow,forest,Y,75.8,point 303,,,,
1679,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,2,2132,SCHO,4119011,,366466,,52.5,Y,Y,N,M,,,,,,Y,76.3,893,,,,
143,RoadVES,SCTR-18-Apr-2016-01,4/18/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,143,7,2206,SCHO,4121215,,363059,,49.9,Y,N,DC,U,,-,A,"leaf litter, next to burrow",forest,Y,81,point 199,,,,
447,RoadVES,SCTR-22-APR-2016-04,23-Apr-16,22-Apr-16,2029,58,479,476,4118460,364962,,,4118409,365810,64F,"ADS, AO",,1,447,115,23,SCHO,4118399,,365759,,43.3,G,N,Y,F,,-,A,L.L.,Forest,Y,83.8,458,,,,
1404,RoadVES,SCTR-15-May-2017-01,15-May-17,15-May-17,2119,,,,,,,,,,,ADS,RH,R,,14,2214,SCHO,4120596,,363804,,48.1,Y,Y,N,M,,,,,,Y,84.3,,,,,
611,RoadVES,SCTR-09-MAY-2016-01,9-May-16,9-May-16,2145,,,,4118457,364943,,,,,,"ADS, MRL, scribe BN",,3,611,53,2257,SCHO,4118423,,364691,,64,DY,N,Y,F,,27.5,A,L.L.,-,Y,90,-,,,,
1393,RoadVES,SCTR-15-May-2017-01,15-May-17,15-May-17,2119,,,,,,,,,,,ADS,RH,R,,3,2139,SCHO,4120480,,363839,,53.4,Y,Y,N,M,,,,,,Y,93,,,,,
285,RoadVES,SCTR-18-Apr-2016-01,4/19/16,,2145,235,,,4121428,363075,15.1,,4121433,363084,11,"ADS, AO, LT (scribe)",,,285,149,146,SCHO,4121608,,363170,,51.1,G,N,DC,U,,-,A,burrow entrance,forest/field edge,Y,93.7,point 310,,,,
1678,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,1,2129,SCHO,4119017,,366451,,53.6,Y,N,Y,F,,,,,,Y,94.2,892,,,,
585,RoadVES,SCTR-09-MAY-2016-01,9-May-16,9-May-16,2145,,,,4118457,364943,,,,,,"ADS, MRL, scribe BN",,3,585,27,2224,SCHO,4118394,,364770,,54.2,Y,N,Y,F,,20,A,L.L.,-,Y,98.1,-,,,,
1630,RoadVES,SCTR-17-May-2017-01,17-May-17,17-May-17,,,,,,,24,76.6,,,,ADS,RH,4,,29,2322,SCHO,4118435,,365286,,55.5,DY,N,Y,F,,,,,,Y,100,,,,,
1452,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,32,2214,SCHO,4119750,,364436,,52,Y,Y,N,M,,,,,,Y,100,,,,,
1786,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,13,2143,SCHO,4119988,,364460,,50.3,GY,N,Y,F,,,,,,Y,101.3,1005,,,,
2142,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,204,2333,SCHO,4119577,,367639,,54,Y,N,Y,F,,,,,,Y,107.7,1180,,,,
1008,RoadVES,SCTR-19-AUG-2016-02,19-Aug-16,19-Aug-16,2307,2323,,,,,,,,,,"MW, ADS",,11,1008,2,,SCHO,4120477,,363847,,48.1,DY,N,Y,F,,-,OK,L.L.,-,Y,114,,,,,
1943,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,3,2112,SCHO,4119039,,367078,,66.2,DY,N,Y,F,,,,,,Y,120,,,,,
1523,RoadVES,SCTR-16-May-2017-04,16-May-17,16-May-17,,,,,,,19.5,76.6,,,,HM,NK,3,,1,2110,SCHO,4119995,,364105,,47.6,Y,Y,N,M,,,,,,Y,128,814,,,,
1635,RoadVES,SCTR-17-May-2017-01,17-May-17,17-May-17,,,,,,,24,76.6,,,,ADS,RH,4,,34,2333,SCHO,4118437,,365324,,54.4,Y,Y,N,M,,,,,,Y,137,,,,,
1409,RoadVES,SCTR-15-May-2017-01,15-May-17,15-May-17,2119,,,,,,,,,,,ADS,RH,R,,19,2259,SCHO,4120339,,363854,,49.4,Y,Y,N,M,,,,,,Y,Lost burrow,,,,,
1438,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,18,2142,SCHO,4119877,,364211,,56.2,Y,Y,N,M,,,,,,,Yes,78 mm,,,,
1431,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,11,2125,SCHO,4119924,,364152,,39.5,G,N,N,SNBA,,,,,,,YES,100 mm,,,,
1220,RoadVES,SCTR-14-MAY-2017-01,14-May-17,14-May-17,2115,,,,,,20,,,,,ADS,AC,2,,10,2139,SCHO,4120473,,365702,,24.5,G,N,Y,U,NO,,,,,,,,,,,Weird mistake in gravid
1782,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,9,2134,SCHO,4119021,,364501,,31.5,DY,N,Y,F,NO,,,,,,,1001,,,,
536,RoadVES,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,23:05,1:50,#021/8,,4118404,365819,#062/8,,4118595,366481,,"AO, ADS, SB",,2,536,71,1:14,SCHO,4118473,,366438,,35,DY,N,Y,F,NO,-,A,L.L.,-,N,,#145/5,,,,
543,RoadVES,SCTR-27-APR-2016-03,28-Apr-16,27-Apr-16,23:05,1:50,#021/8,,4118404,365819,#062/8,,4118595,366481,,"AO, ADS, SB",,2,543,78,1:26,SCHO,4118518,,366451,,36.8,GY,N,Y,F,,13.5,A,L.L.,-,N,,#056/8,,,,
1785,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,12,2141,SCHO,4119009,,364460,,37.1,G,N,Y,F,,,,,,,,1004,,,,
1817,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,44,2303,SCHO,4118761,,364451,,38,GY,N,Y,F,,,,,,,,1036,,,,
1149,RoadVES,SCTR-11-MAY-2017-03,11-May-17,11-May-17,,,,,,,,,,,,,,1,,35,2254,SCHO,4118426,,364549,,39.4,G,N,Y,F,,,,,,,,GPS 5 - 638,,,,
1777,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,4,2113,SCHO,4119274,,364610,,39.8,GY,N,Y,F,,,,,,,,996,,,,
1837,RoadVES,SCTR-18-MAY-2017-02,18-May-17,18-May-17,,,,,,,,,,,,,,5,,64,10,SCHO,4120055,,364011,,40.2,GY,N,Y,F,,,,,,,,1056,,,,
1998,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,58,2152,SCHO,4119048,,367366,,40.2,GY,N,Y,F,,,,,,,,1105,,,,
1254,RoadVES,SCTR-14-MAY-2017-01,14-May-17,14-May-17,2115,,,,,,20,,,,,ADS,AC,2,,44,2229,SCHO,4120180,,365768,,41.2,GY,N,Y,F,,,,,,,,,,,,
1454,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,34,2225,SCHO,4119777,,364471,,41.4,G,N,Y,F,,,,,,,,,,,,
1838,RoadVES,SCTR-18-MAY-2017-02,18-May-17,18-May-17,,,,,,,,,,,,,,5,,65,11,SCHO,4120071,,364002,,41.7,DY,N,Y,F,,,,,,,,1057,,,,
2225,RoadVES,SCTR-19-MAY-2017-06,20-May-17,19-May-17,,,,,,,,,,,,,,6,,286,59,SCHO,4120644,,363738,,41.7,GY,N,Y,F,,,,,,,,,,,,
1694,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,17,2231,SCHO,4118474,,366436,,41.8,DY,N,Y,F,,,,,,,,908,,,,
1864,RoadVES,SCTR-18-MAY-2017-03,18-May-17,18-May-17,,,,,,,,,,,,ADS,NEK,5,,2,2103,SCHO,4119531,,364729,,41.8,GY,N,Y,F,,,,,,,,,,,,
1930,RoadVES,SCTR-18-MAY-2017-04,19-May-17,18-May-17,,,,,,,,,,,,,,5,,66,37,SCHO,4120277,,363908,,41.9,DY,N,Y,F,,,,,,,,,,,,
1256,RoadVES,SCTR-14-MAY-2017-02,14-May-17,14-May-17,,,,,,,,,,,,,,2,,46,2234,SCHO,4120186,,365742,,42,GY,N,Y,F,,,,,,,,,,1,10,
2176,RoadVES,SCTR-19-MAY-2017-06,19-May-17,19-May-17,,,,,,,,,,,,,,6,,238,2356,SCHO,4119688,,367576,,42,GY,N,Y,F,,,,,,,,1197,,,,
1764,RoadVES,SCTR-17-MAY-2017-03,18-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,87,53,SCHO,4118352,,366120,,42.1,DY,N,Y,F,,,,,,,,983,,,,
1700,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,23,2236,SCHO,4118464,,366428,,42.2,G,N,Y,F,,,,,,,,914,,,,
1023,RoadVES,SCTR-21-AUG-2016-01,21-Aug-16,21-Aug-16,,,,,,,,,end 100m later,,,,,,1023,2,-,SCHO,4120599,,363786,,42.4,DY,N,Y,F,,-,OK,L.L.,-,N,,-,,,,
720,RoadVES,SCTR-09-MAY-2016-01,10-May-16,9-May-16,2145,,,,4118457,364943,,,,,,"ADS, MRL, scribe BN",,3,720,162,121,SCHO,4118549,,364280,,42.7,GY,N,Y,F,,8.3,N,L.L.,-,N,,-,,,,
1859,RoadVES,SCTR-18-MAY-2017-02,18-May-17,18-May-17,,,,,,,,,,,,,,5,,85,52,SCHO,4120412,,363841,,42.7,GY,N,Y,F,,,,,,,,1078,,,,
1738,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,61,2348,SCHO,4118380,,366310,,42.8,DY,N,Y,F,,,,,,,,954,,,,
1763,RoadVES,SCTR-17-MAY-2017-03,18-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,86,52,SCHO,4118364,,366118,,42.8,GY,N,Y,F,,,,,,,,982,,,,
1807,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,34,2244,SCHO,4118638,,364325,,42.8,GY,N,Y,F,,,,,,,,1026,,,,
1942,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,2,2111,SCHO,4119081,,367080,,42.8,GY,N,Y,F,,,,,,,,1083,,,,
905,RoadVES,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,2331,41,,French artillery park,-,-,-,,4119074,364479,-,-,,9,905,7,-,SCHO,4119273,,364602,,42.9,GY,N,Y,F,,-,OK,L.L.,-,N,,-,,,,
1783,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,10,2137,SCHO,4119022,,364484,,42.9,DY,N,Y,F,,,,,,,,1002,,,,
2102,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,163,2301,SCHO,4119338,,367601,,43,GY,N,Y,F,,,,,,,,1160,,,,
1528,RoadVES,SCTR-16-May-2017-04,16-May-17,16-May-17,,,,,,,19.5,76.6,,,,HM,NK,3,,6,2122,SCHO,4119973,,365154,,43.1,DY,N,Y,F,,,,,,,,818,,,,
1881,RoadVES,SCTR-18-MAY-2017-03,18-May-17,18-May-17,,,,,,,,,,,,ADS,NEK,5,,19,2152,SCHO,4119266,,364582,,43.1,DY,N,Y,F,,,,,,,,,,,,
1433,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,13,2133,SCHO,4119923,,364154,,43.4,G,N,Y,F,,,,,,,,,,,,
2232,RoadVES,SCTR-19-MAY-2017-06,20-May-17,19-May-17,,,,,,,,,,,,,,6,,294,108,SCHO,4120816,,363719,,43.4,GY,N,Y,F,,,,,,,,1219,,,,
1720,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,43,2319,SCHO,4118403,,366354,,43.5,DY,N,Y,F,,,,,,,,936,,,,
1761,RoadVES,SCTR-17-MAY-2017-03,18-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,84,45,SCHO,4118363,,366155,,43.5,DY,N,Y,F,,,,,,,,980,,,,
1460,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,40,2245,SCHO,4119760,,364504,,43.7,GY,N,Y,F,,,,,,,,,,,,
1683,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,6,2213,SCHO,4118557,,366483,,43.7,DY,N,Y,F,,,,,,,,897,,,,
1729,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,52,2332,SCHO,4118404,,366332,,43.7,DY,N,Y,F,,,,,,,,945,,,,
1317,RoadVES,SCTR-14-MAY-2017-04,14-May-17,14-May-17,,,,,,,,,,,,,,2,,13,2147,SCHO,4120472,,365749,,43.8,GY,N,Y,F,,,,,,,,GPS 5 - 725,,,,
1477,RoadVES,SCTR-16-MAY-2017-02,16-May-17,16-May-17,2105,,,,,,,,,,,RH/ADS,ADS/RH,3,,57,2318,SCHO,4119740,,364562,364062,43.8,DY,N,Y,F,,,,,,,,,,,,
1744,RoadVES,SCTR-17-MAY-2017-03,18-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,67,2,SCHO,4118371,,366300,,43.9,DY,N,Y,F,,,,,,,,962,,,,
2128,RoadVES,SCTR-19-may-2017-01,19-May-17,19-May-17,2110,,,,,,21.8,97.2,,,,"ADS, HM",RH,6,,190,2321,SCHO,4119453,,367627,,43.9,GY,N,Y,F,,,,,,,,1174,,,,
915,RoadVES,SCTR-11-JUL-2016-01,11-Jul-16,11-Jul-16,2331,41,,French artillery park,-,-,-,,4119074,364479,-,-,,9,915,17,-,SCHO,4119216,,364518,,44,GY,N,Y,F,,-,OK,L.L.,-,N,,-,,,,
1026,RoadVES,SCTR-11-MAY-2017-01,11-May-17,11-May-17,2109,,,,,,15.7,95.8,,,,ADS,AC,1,,3,2109,SCHO,4118569,,364305,,44,GY,N,Y,F,,,,,,,,,,,,
1483,RoadVES,SCTR-16-MAY-2017-02,16-May-17,16-May-17,2105,,,,,,,,,,,RH/ADS,ADS/RH,3,,63,2328,SCHO,4119742,4199742,364559,,44,GY,N,Y,F,,,,,,,,,,,,
1790,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,17,2157,SCHO,4119071,,364455,,44,DY,N,Y,F,,,,,,,,1009,,,,
1424,RoadVES,SCTR-16- MAY-2017-01,16-May-17,16-May-17,2105,,,,,,19.5,76.6,,,,ADS,RH,3,,4,2115,SCHO,4119947,,364099,,44.2,DY,N,Y,F,,,,,,,,,,,,
1695,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,18,2231,SCHO,4118473,,366437,,44.2,DY,N,Y,F,,,,,,,,909,,,,
1794,RoadVES,SCTR-18-May-2017-01,18-May-17,18-May-17,2056,,,,,,26.6,66.5,,,,HM,RH,5,,21,2200,SCHO,4119089,,364473,,44.2,DY,N,Y,F,,,,,,,,1013,,,,
1710,RoadVES,SCTR-17-MAY-2017-03,17-May-17,17-May-17,2125,,,,,,28.7,,,,,HM/NK,NK,4,,33,2301,SCHO,4118412,,366365,,44.3,DY,N,Y,F,,,,,,,,924,,,,
